Title,Authors,Published Year,Library,Publication,Thematic Group,Musical Group,Musical Sub-Group,Review/Theoretical,Human Subject Method,Visually Disabled
Sonification Solutions for Body Movements in Rehabilitation of Locomotor Disorders,"Tissberger, Johann P.; Wersenyi, Gyorgy",2011,Georgia tech,ICAD,medicine-movement,theoretical,zero-one(par),,,
Sonification Of A Virtual Model Of The Old Rare Musical Instrument,"Lukasik, Ewa; Materski, Michal",2013,Georgia tech,ICAD,art-space,experiential,both-perform,,,
Personal webmelody: Customized sonification of web servers,"Barra, Maria; Cillo, Tania; de Santis, Antonio; Petrillo, Umberto Ferraro; Negro, Alberto; Scarano, Vittoro; Matlock, Teenie; Maglio, Paul P.",2001,Georgia tech,ICAD,vision,non-specified,,,x,
sMax: A multimodal toolkit for stock market data sonification,"Ciardi, F. C.",2004,Georgia tech,ICAD,vision,theoretical,zero-one(par),,,
Sonification: A Prehistory,"Worrall, David",2018,Georgia tech,ICAD,design,,,review,,
An interface and framework design for interactive aesthetic sonification,"Beilharz, Kirsty; Ferguson, Sam",2009,Georgia tech,ICAD,design-space,theoretical,one(ver)-two,,,
A sonification experience to portray the sounds of portuguese consumption habits,"Seica, Mariana; Martins, Pedro; Roque, Licinio; Cardoso, F. Amilcar",2019,Georgia tech,ICAD,nature,theoretical,zero-one(par),,x,
Tonal DisCo: Dissonance and Consonance in a Gaming Engine,"Nguyen, Vinh Xuan",2011,Georgia tech,ICAD,movement,theoretical,one(ver),,,
Spectral Parameter Encoding: Towards a Framework for Functional-Aesthetic Sonification,"Tsuchiya, Takahiko; Freeman, Jason",2017,Georgia tech,ICAD,design,theoretical,zero-one(ver),theoretical,,
Pairing Colored Socks and Following a Red Serpentine With Sounds of Musical Instruments,"Bologna, Guido; Deville, Benoit; Pun, Thierry",2008,Georgia tech,ICAD,medicine-space,theoretical,zero,,x,x
Educational sonification exercises: Pathways for mathematics and musical achievement,"Upson, R.",2002,Georgia tech,ICAD,vision,theoretical-experiential,zero-one(par)-by practice-comp,,x,
Physiosonic - movement sonification as auditory feedback,"Vogt, Katharina; Pirro, David; Kobenz, Ingo; Höldrich, Robert; Eckel, Gerhard",2009,Georgia tech,ICAD,medicine-movement,non-specified,,,,
Empirical Aesthetic Evaluation Of Sonifications,"Vogt, Katharina; Goudarzi, Visda; Parncutt, Richard",2013,Georgia tech,ICAD,design,non-specified,,,x,
"Individual differences, cognitive abilities, and the interpretation of auditory graphs","Walker, Bruce N.; Mauney, Lisa M.",2004,Georgia tech,ICAD,design,theoretical,zero-one(ver),,x,
Sonification with music for cybersecurity situational awareness,"Falk, Courtney; Dykstra, Josiah",2019,Georgia tech,ICAD,vision,theoretical,two,,,
A metaphor-based technical framework for musical sonification in movement rehabilitation,"Kantan, Prithvi Ravi; Spaich, Erika G.; Dahl, Sofia",2021,Georgia tech,ICAD,medicine-movement,theoretical,one(ver)-two,,,
Musical features modification for less intrusive delivery of popular notification sounds,"Yang, Jing; Roth, Andreas",2021,Georgia tech,ICAD,design,theoretical,one(both),,x,
Sonification of autonomic rhythms in the frequency spectrum of heart rate variability,"Orzessek, B.; Falkner, M.",2006,Georgia tech,ICAD,medicine-nature,theoretical,zero-one(par),,,
"Preliminary guidelines on the sonification of visual artworks: Linking music, sonification & visual arts","Nadri, Chihab; Anaya, Chairunisa; Yuan, Shan; Jeon, Myounghoon",2019,Georgia tech,ICAD,art-medicine-vision,theoretical-experiential,zero-one(par)-by practice-comp,,x,x
Household appliances control device for the elderly,"England, David; Salces, Fausto J. Sainz; Vickers, Paul",2003,Georgia tech,ICAD,design-vision,theoretical,one(par),,x,
To sonify or not to sonify? Educator perceptions of auditory display in interactive simulations,"Fiedler, Brett L.; Walker, Bruce N.; Moore, Emily B.",2021,Georgia tech,ICAD,design-vision,non-specified,,,x,
Auditory display of directions and states for mobile systems,"Johannsen, G.",2002,Georgia tech,ICAD,movement-space,theoretical,zero-one(both),,x,
Musical Exercise for people with visual impairments: A preliminary study with the blindfolded,"Khan, Ridwan Ahmed; Jeon, Myounghoon; Yoon, Tejin",2018,Georgia tech,ICAD,medicine-movement,theoretical,zero-one(par),,x,x
The SysSon platform: A computer music perspective of sonification,"Rutz, Hanns Holger; Vogt, Katharina; Höldrich, Robert",2015,Georgia tech,ICAD,art-nature,experiential,for practice-comp,,x,
Musical Expectancy in Squat Sonification For People Who Struggle With Physical Activity,"Newbold, Joseph W.; Bianchi-Berthouze, Nadia; Gold, Nicolas E.",2017,Georgia tech,ICAD,medicine-movement,theoretical,two,,x,
A study of exploratory analysis in melodic sonification with structural and durational time scales,"Tsuchiya, Takahiko; Freeman, Jason",2018,Georgia tech,ICAD,design,theoretical,one(par),,x,
Interacting with sound: An interaction paradigm for virtual auditory worlds,"Roeber, N.; Masuch, M.",2004,Georgia tech,ICAD,design-space-vision,non-specified,,theoretical,,
Orchestration within the sonification of basic data sets,"Coyle, Eugene; Cullen, C.",2004,Georgia tech,ICAD,design-nature,theoretical,zero-one(both),,,
Data-to-music API: Real-time data-agnostic sonification with musical structure models,"Tsuchiya, Takahiko; Freeman, Jason; Lerner, Lee W.",2015,Georgia tech,ICAD,design,theoretical,two,,,
Using the major and minor mode to create affectively-charged earcons,"Lemmens, Paul M. C.",2005,Georgia tech,ICAD,design,theoretical,one(ver),,x,
Meanings conveyed by simple auditory rhythms,"Palomaki, H.",2006,Georgia tech,ICAD,design,theoretical,zero,,x,
Soccer sonification: Enhancing viewer experience,"Savery, Richard; Ayyagari, Madhukesh; May, Keenan; Walker, Bruce N.",2019,Georgia tech,ICAD,vision,theoretical,zero-one(par),,x,
